	!(3(disz)
	&a
	&i2
	'i
	)
	...
	2
	2(asz@t)
	A
	A2
	AB
	AK
	AN
	ARAD
	ARAD2
	BA
	BE
	BI
	DI
	DIM
	DIN
	DU
	DU10
	DUL3
	GA
	GAG
	GAN2
	I
	IG
	KU
	Ku
	LE
	NA
	NI
	NIM
	PI
	PU3
	Ra
	SIG7
	SIPA
	SUM
	SZA
	SZU
	TA
	TI
	TUM
	UD
	UGU
	UR
	UTU
	UZ
	ZU
	_ma
	a
	a'
	a2
	a3
	ab
	ab2
	ad
	ag
	ah
	ak
	al
	alim
	am
	ama
	amar
	an
	ansze
	ap
	ap2
	aq
	ar
	ar3
	as
	as,
	as,2
	as2
	asar
	asz
1	asz
1/2	asz
1/3	asz
2	asz
3	asz
4	asz
5	asz
6	asz
7	asz
8	asz
9	asz
	asz2
	at
	at,
	az
5	az
	az2
	azs2
	ba
	ba2
	babbar
	babila
	bad3
	ban2
1	ban2
3	ban2
5	ban2
	banda3
	bar
	barig
1	barig
2	barig
	bat
	be
	be2
	be4
	bi
	bi2
	bi3
	bi4
	bil
	bil2
	bu
	bur
	d
	da
	da2
	da3
	dal
	dam
	dam2
	dan
	dar
	dar2
	dasz
	de
	de2
	de8
	de9
	di
	di12
	di2
	di3
	di8
	dim
	din
	dingir
	diri
	disz
1	disz
1/2	disz
1/3	disz
1/4	disz
1/6	disz
2	disz
2/2	disz
2/3	disz
3	disz
3/4	disz
4	disz
5	disz
5/6	disz
6	disz
7	disz
8	disz
9	disz
	dsz
8	dsz
	du
	du10
	du11
	du2
	du8
	dub
	dug
	dul3
	dul5
	dum
	dumu
	dur
	dur4
	duru5
	e
	e2
	e3
	eb
	eh
	ek
	el
	em
	eme6
	en
	en2
	en6
	ensi2
	ep
	eq
	er
	er3
	es,
	esz
	esz15
	esz18
	esz4
	et
	et,
	ez
	ga
	ga2
	gag
	gakkul
	gal
	gam
	gam2
	gan
	gan2
	gar
	gar3
	ge5
	ge6
	geme2
	gesz
	gesz2
1	gesz2
	gi
	gi2
	gi5
	gi6
	gig
	gin
	gin2
	gin3
	gir2
	gu
	gu2
	gu4
	gu5
	gudu4
	gug
	gul
	gur
	gur16
	ha
	hal
	har
	he
	hi
	hi2
	hu
	hun
	hur
	i
	i2
	i3
	ia
	ib
	ib2
	id
	ig
	igi
	ih
	ik
	il
